Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100n,
D1,D_SOD-323,1,SD24_SOD323,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D3, D4, D5, D6, D7, D8, D9",LED_PLCC-2,25,RF-RURA30TS-CE,
"J2, J3",SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,2,Conn_01x01_Socket,
"R1, R3, R4, R5, R6",1206,5,90R,
R2,1206,1,13R,
U1,NVD5117PLT4GVF01,1,LM317MABDTG,
